"id_odsp";"id_event";"sort_order";"time";"text";"event_type";"event_type2";"side";"event_team";"opponent";"player";"player2";"player_in";"player_out";"shot_place";"shot_outcome";"is_goal";"location";"bodypart";"assist_method";"situation";"fast_break"
"dWGgaV3p/";"dWGgaV3p24";24.0;22.0;"Benoit Pedretti (Lille) is shown the yellow card.";4.0;"NA";1.0;"Lille";"Valenciennes";"benoit pedretti";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"rgrLp2TP/";"rgrLp2TP5";5.0;5.0;"Foul by Kyriakos Papadopoulos (Schalke).";3.0;"NA";2.0;"Schalke 04";"Kaiserslautern";"kyriakos papadopoulos";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"G2x6NNWq/";"G2x6NNWq5";5.0;8.0;"Corner,  FC Sevilla. Conceded by Edu Bedia.";2.0;"NA";2.0;"Sevilla";"Racing Santander";"edu bedia";"edu bedia";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"M5pbX9PF/";"M5pbX9PF18";18.0;19.0;"Attempt missed. Etienne Didot (Toulouse) right footed shot from outside the box is too high. Assisted by Emmanuel Riviere.";1.0;"12";1.0;"Toulouse";"AJ Auxerre";"etienne didot";"emmanuel riviere";"NA";"NA";"10";"2";0.0;"15";"1";1.0;"1";0.0
"rBsmDlYq/";"rBsmDlYq85";85.0;73.0;"Cedric Varrault (Dijon) wins a free kick on the right wing.";8.0;"NA";1.0;"Dijon FCO";"Caen";"cedric varrault";"NA";"NA";"NA";"NA";"NA";0.0;"5";"NA";0.0;"NA";0.0
"Agm4z1Gk/";"Agm4z1Gk9";9.0;6.0;"Foul by Franco Jara (Granada CF).";3.0;"NA";1.0;"Granada";"Sevilla";"franco jara";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"4fZgiwja/";"4fZgiwja21";21.0;17.0;"Corner,  Borussia Dortmund. Conceded by Gotoku Sakai.";2.0;"NA";1.0;"Borussia Dortmund";"VfB Stuttgart";"gotoku sakai";"gotoku sakai";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"Gx1AkHKB/";"Gx1AkHKB29";29.0;32.0;"Foul by Adam Szalai (FSV Mainz).";3.0;"NA";2.0;"Mainz";"Werder Bremen";"adam szalai";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"KOQvF19l/";"KOQvF19l60";60.0;51.0;"Attempt missed. Renaud Cohade (Valenciennes) right footed shot from outside the box is high and wide to the right.";1.0;"NA";2.0;"Valenciennes";"AJ Auxerre";"renaud cohade";"NA";"NA";"NA";"6";"2";0.0;"15";"1";0.0;"1";0.0
"IXPlHz6r/";"IXPlHz6r29";29.0;36.0;"Hand ball by Roberto Pereyra (Udinese).";10.0;"NA";2.0;"Udinese";"Siena";"roberto pereyra";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"fJU1beED/";"fJU1beED107";107.0;77.0;"Attempt missed. Franco Zuculini (Real Zaragoza) right footed shot from a difficult angle and long range on the right is high and wide to the left. Assisted by Ruben Micael.";1.0;"12";1.0;"Real Zaragoza";"Barcelona";"franco zuculini";"ruben micael";"NA";"NA";"6";"2";0.0;"6";"1";1.0;"1";0.0
"reTgOdhJ/";"reTgOdhJ9";9.0;12.0;"Offside, Rennes. Romain Danze tries a through ball, but Youssouf Hadji is caught offside.";9.0;"13";2.0;"Stade Rennes";"Evian Thonon Gaillard";"youssouf hadji";"romain danze";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"tzoFd5Ik/";"tzoFd5Ik1";1.0;2.0;"Lewis Holtby (Schalke) wins a free kick in the attacking half.";8.0;"NA";2.0;"Schalke 04";"Nurnberg";"lewis holtby";"NA";"NA";"NA";"NA";"NA";0.0;"1";"NA";0.0;"NA";0.0
"reRFip4B/";"reRFip4B95";95.0;74.0;"Foul by Gaby Mudingayi (Bologna).";3.0;"NA";1.0;"Bologna";"Cagliari";"gaby mudingayi";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"MZsVFpPR/";"MZsVFpPR61";61.0;50.0;"Foul by David Jarolim (Hamburg).";3.0;"NA";1.0;"Hamburg SV";"Hannover 96";"david jarolim";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"2Dc5B4Xr/";"2Dc5B4Xr3";3.0;4.0;"Sebastian Freis (SC Freiburg) wins a free kick in the attacking half.";8.0;"NA";1.0;"SC Freiburg";"TSG Hoffenheim";"sebastian freis";"NA";"NA";"NA";"NA";"NA";0.0;"1";"NA";0.0;"NA";0.0
"KzBYfEFT/";"KzBYfEFT102";102.0;90.0;"Odion Ighalo (Granada CF) wins a free kick in the attacking half.";8.0;"NA";2.0;"Granada";"Real Zaragoza";"odion ighalo";"NA";"NA";"NA";"NA";"NA";0.0;"1";"NA";0.0;"NA";0.0
"j5WchHig/";"j5WchHig32";32.0;30.0;"Cris (Lyon) wins a free kick in the defensive half.";8.0;"NA";2.0;"Lyon";"Toulouse";"cris";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"0d1GLu17/";"0d1GLu1730";30.0;41.0;"Foul by Felix Bastians (Hertha Berlin).";3.0;"NA";1.0;"Hertha Berlin";"Kaiserslautern";"felix bastians";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"dAFkSfpi/";"dAFkSfpi60";60.0;54.0;"Attempt blocked. Jesus Navas (FC Sevilla) right footed shot from the right side of the box is blocked.";1.0;"NA";1.0;"Sevilla";"Levante";"jesus navas";"NA";"NA";"NA";"2";"3";0.0;"11";"1";0.0;"1";0.0
"O2nNlZjI/";"O2nNlZjI3";3.0;6.0;"Tongo Hamed Doumbia (Rennes) wins a free kick in the defensive half.";8.0;"NA";2.0;"Stade Rennes";"Brest";"tongo hamed doumbia";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"UNDcQYE3/";"UNDcQYE348";48.0;37.0;"Attempt saved. AdriA¡n Colunga (Sporting GijA³n) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Oscar Trejo.";1.0;"12";1.0;"Sporting Gijon";"Rayo Vallecano";"adrian colunga";"oscar trejo";"NA";"NA";"4";"1";0.0;"9";"2";1.0;"1";0.0
"2mbEjeM5/";"2mbEjeM538";38.0;38.0;"Attempt saved. Yohan Mollo (Nancy) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Bakaye TraorA©.";1.0;"12";2.0;"AS Nancy Lorraine";"AC Ajaccio";"yohan mollo";"bakaye traore";"NA";"NA";"3";"1";0.0;"9";"1";1.0;"1";0.0
"pdF4H0XM/";"pdF4H0XM70";70.0;69.0;"Daniele Bonera (Milan) is shown the yellow card for a bad foul.";4.0;"NA";1.0;"AC Milan";"Bologna";"daniele bonera";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"8bUINWbM/";"8bUINWbM90";90.0;90.0;"Substitution, MA¡laga. Duda replaces Isco.";7.0;"NA";2.0;"Malaga";"Osasuna";"NA";"NA";"duda";"isco";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
